labels,Component,,,PartialTitle,description,title
HookLogger,Home,,,"Freezes at times, automatically closes","Jim saw this on Leg 1, 2nd to last drop of the last day.  Will need the full log files to figure out what's going on here.

Believe this might be bad data coming in on Torondo.  Serial Port of hex = 00 might have been the issue, try to recreate with this simulated data","H&L: Home: Freezes at times, automatically closes"
CutterStation,FishSamplingEntryDialog,,,"Disposition - descend, cannot edit the tag number","error when going between S and Descended for some reason.  Changing the type of disposition (sacrified to released, to descended) does not properly save.  On Leg 2, John mentioned that selecting Released at Surface does not seem to stick

Simplest resolution would be to search for an existing Disposition for that given specimen, and if it exists, then delete it, and then insert the new Disposition","H&L: FishSamplingEntryDialog: Disposition - descend, cannot edit the tag number"
CutterStation,DrawingNotesDialog,,,Enable gallery of notes for swiping between notes,,H&L: DrawingNotesDialog: Enable gallery of notes for swiping between notes
HookMatrix,DropsScreen,,,"Changing the weight on the 2nd or 3rd drop, for the subsequent drops, it should change to this new weight",,"H&L: DropsScreen: Changing the weight on the 2nd or 3rd drop, for the subsequent drops, it should change to this new weight"
HookLogger,Home,,,"After skipping a tide height, cannot go back and enter a value",,"H&L: Home: After skipping a tide height, cannot go back and enter a value"
HookLogger,Home,,,Tide height does not accept a value of 0.0,,H&L: Home: Tide height does not accept a value of 0.0
HookMatrix,DropsScreen,,,Make angler names sticky once set in Drop 1,,H&L: DropsScreen: Make angler names sticky once set in Drop 1
HookMatrix,DropsScreen,,,Gear Performance - update labels when entering the DropsScreen for a site,,H&L: DropsScreen: Gear Performance - update labels when entering the DropsScreen for a site
HookMatrix,DropsScreen,,,Edit the Start Drop button issue,"If you edit the Start Drop button, it seems like Begin Retrieve and At Surface buttons have a hard time registering. If you close the program and open back up, they work, but sometimes the At Surface time just above the At Surface box (the running clock) will not register the correct time, but you can edit the At Surface button time to be correct.",H&L: DropsScreen: Edit the Start Drop button issue
HookMatrix,GearPerformanceScreen,,,HooksScreen button - take you right to this.  When returning from HooksScreen then go right to DropsScreen,,H&L: GearPerformanceScreen: HooksScreen button - take you right to this.  When returning from HooksScreen then go right to DropsScreen
HookMatrix,DropsScreen,,,"Edit times function – needs to automatically clear the time. Right now, you have to hit the clear button. Just an extra, unnecessary step.","Force cursor into the textfield so that when a user starts typing, they auto-override the existing time","H&L: DropsScreen: Edit times function – needs to automatically clear the time. Right now, you have to hit the clear button. Just an extra, unnecessary step."
HookMatrix,DropsScreen,,,"Also, the Start field needs to accept HH:MM:SS. Currently it is just MM:SS.",,"H&L: DropsScreen: Also, the Start field needs to accept HH:MM:SS. Currently it is just MM:SS."
